"jahr,quelle,geraetekategorie,neugeraeteabsatz_stk,geraetebestand_stk,verbrauch_neugeraete_kwh,verbrauch_geraetebestand_kwh"
"2018,""FEA"",""Kaffeemaschinen"",526518,NA,26828470,NA"
"2018,""FEA"",""Staubsauger"",419775,NA,14083147,NA"
"2018,""FEA"",""Tiefkühlschränke"",63921,1929298,10412305,490584878"
"2018,""FEA"",""Wäschetrockner"",137891,2057358,22196601,865456388"
"2018,""FEA"",""Waschmaschinen"",204219,2390415,36205924,675500006"
"2018,""FEA"",""Waschtrockner"",12968,111531,5163757,58243907"
"2018,""SWICO"",""Beamer"",35000,180692,1777894,8957094"
"2018,""SWICO"",""Drucker"",575000,4507056,8073679,69349012"
"2018,""SWICO"",""Fernsehgeräte"",454000,4979646,57339634,451658449"
"2018,""SWICO"",""Laptops"",945000,6354398,20424523,139647030"
"2018,""SWICO"",""Monitore"",555500,2872048,23934944,171498127"
"2018,""SWICO"",""Personal Computer"",451000,3603176,34149436,292572407"
"2018,""SWICO"",""Router / Modems"",NA,3611,NA,309000000"
"2018,""SWICO"",""Server (Small Scale)"",49000,199293,29976301,120172716"
"2018,""SWICO"",""Settop-Boxen"",403747,3093600,18596757,202182564"
"2018,""SWICO"",""Slate Computer (Tablets)"",697000,4806371,4807814,32407343"
"2018,""SWICO"",""USV"",109000,401145,30475238,119403954"
"2018,""SWICO"",""Video/DVD/Blu-Ray"",100500,1277516,1282336,17948737"
"2019,""FEA"",""Dunstabzugshauben"",151081,NA,9982906,NA"
"2019,""FEA"",""Elektroherde und Einbaubacköfen"",355066,3623854,99939900,1434213471"
"2019,""FEA"",""Geschirrspüler"",242249,2779727,46404671,573967558"
"2019,""FEA"",""Kühlschränke"",304539,4860630,50849711,1066671852"
"2019,""FEA"",""Kaffeemaschinen"",486465,NA,21993666,NA"
"2019,""FEA"",""Staubsauger"",387435,NA,13815680,NA"
"2019,""FEA"",""Tiefkühlschränke"",60592,1918936,9898495,478700499"
"2019,""FEA"",""Wäschetrockner"",139189,2124318,21760144,836660078"
"2019,""FEA"",""Waschmaschinen"",214370,2443458,37924681,658788578"
"2019,""FEA"",""Waschtrockner"",14327,119568,5609096,60119164"
"2019,""SWICO"",""Beamer"",36000,170182,1828691,8555554"
"2019,""SWICO"",""Drucker"",554000,4300988,7690743,61733632"
"2019,""SWICO"",""Fernsehgeräte"",464445,4631177,62629182,396738552"
"2019,""SWICO"",""Laptops"",1027000,6272006,22329084,137300184"
"2019,""SWICO"",""Monitore"",627000,2944032,25104979,159982633"
"2019,""SWICO"",""Personal Computer"",500000,3440441,35113683,272688764"
"2019,""SWICO"",""Router / Modems"",NA,3648,NA,314000000"
"2019,""SWICO"",""Server (Small Scale)"",58000,204767,35482153,124391284"
"2019,""SWICO"",""Settop-Boxen"",600481,3205600,26203077,191994710"
"2019,""SWICO"",""Slate Computer (Tablets)"",693000,4677298,4815401,30614719"
"2019,""SWICO"",""USV"",126000,431826,34954872,125405077"
"2019,""SWICO"",""Video/DVD/Blu-Ray"",79600,1026681,1001852,13677063"
"2020,""FEA"",""Dunstabzugshauben"",151870,NA,9143214,NA"
"2020,""FEA"",""Elektroherde und Einbaubacköfen"",366343,3675918,102501244,1506676931"
"2020,""FEA"",""Geschirrspüler"",262531,2841730,49103113,588204223"
"2020,""FEA"",""Kühlschränke"",322721,4927943,54216762,1078270494"
"2020,""FEA"",""Kaffeemaschinen"",493202,NA,22368866,NA"
"2020,""FEA"",""Staubsauger"",402360,NA,14830283,NA"
"2020,""FEA"",""Tiefkühlschränke"",74704,1909593,11945735,465471382"
"2020,""FEA"",""Wäschetrockner"",143798,2191425,22255389,805949305"
"2020,""FEA"",""Waschmaschinen"",219609,2502815,38702341,642854738"
"2020,""FEA"",""Waschtrockner"",14401,128126,5557464,62014817"
"2020,""SWICO"",""Beamer"",40800,170903,2242040,8838578"
"2020,""SWICO"",""Drucker"",578000,4148597,8081370,56468582"
"2020,""SWICO"",""Fernsehgeräte"",582700,4416469,85188180,394764093"
"2020,""SWICO"",""Laptops"",1172000,6409411,25514589,139901624"
"2020,""SWICO"",""Monitore"",882000,3321917,32152680,149952337"
"2020,""SWICO"",""Personal Computer"",448000,3264793,30136330,251096134"
"2020,""SWICO"",""Router / Modems"",NA,3755,NA,320000000"
"2020,""SWICO"",""Server (Small Scale)"",55000,208183,33646869,127011735"
"2020,""SWICO"",""Settop-Boxen"",515252,3214800,17747707,173622112"
"2020,""SWICO"",""Slate Computer (Tablets)"",808000,4608715,6095422,30389204"
"2020,""SWICO"",""USV"",121000,455464,33425090,130264024"
"2020,""SWICO"",""Video/DVD/Blu-Ray"",76000,825140,964695,10929412"
"2021,""FEA"",""Dunstabzugshauben"",159393,NA,9320182,NA"
"2021,""FEA"",""Elektroherde und Einbaubacköfen"",389569,3724635,107366891,1452845788"
"2021,""FEA"",""Geschirrspüler"",275921,2895866,46720044,577365094"
"2021,""FEA"",""Kühlschränke"",321661,4970795,56246186,1048907458"
"2021,""FEA"",""Kaffeemaschinen"",469677,NA,20860897,NA"
"2021,""FEA"",""Staubsauger"",423539,NA,20223987,NA"
"2021,""FEA"",""Tiefkühlschränke"",64607,1907202,11229105,455210621"
"2021,""FEA"",""Wäschetrockner"",147921,2257493,22689630,770049351"
"2021,""FEA"",""Waschmaschinen"",217927,2563461,34281885,623409702"
"2021,""FEA"",""Waschtrockner"",14548,135131,5571722,63330868"
"2021,""SWICO"",""Beamer"",45600,179552,2503994,9477838"
"2021,""SWICO"",""Drucker"",509000,3959054,6720460,51651093"
"2021,""SWICO"",""Fernsehgeräte"",526542,4181661,83381082,413446682"
"2021,""SWICO"",""Laptops"",1018000,6440339,21920398,139950435"
"2021,""SWICO"",""Monitore"",845000,3690589,33278852,143843282"
